# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Spectrum Group
#
# Region:                       S (0)
# Spectrum ID:                  11
# Acquisition Date:             06/10/22 18:06:02 UTC
# Analysis Method:              XPS
# Analyzer Lens:                MediumArea:3.5kV
# Analyzer Slit:                5:7x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 181
# Dwell Time:                   0.1
# Excitation Energy:            1486.71
# Binding Energy:               168
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1750
# Eff. Workfunction:            4.341
# Source:                       Focus
# Comment:                      sin irradiar

# Cycle: 0
#
# Number of Scans: 30

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/10/22 18:06:02 UTC
# ColumnLabels:                 energy counts/s
#
168  11423.928
167.95  11415.416
167.9  11470.244
167.85  11592.584
167.8  11492.805
167.75  11458.803
167.7  11476.336
167.65  11448.171
167.6  11498.444
167.55  11501.44
167.5  11496.929
167.45  11544.771
167.4  11531.767
167.35  11501.999
167.3  11551.773
167.25  11467.151
167.2  11494.175
167.15  11559.806
167.1  11539.672
167.05  11474.026
167  11585.318
166.95  11628.882
166.9  11605.172
166.85  11445.713
166.8  11507.784
166.75  11573.672
166.7  11442.756
166.65  11573.342
166.6  11635.938
166.55  11628.223
166.5  11601.588
166.45  11606.603
166.4  11633.614
166.35  11667.95
166.3  11652.519
166.25  11628.544
166.2  11560.241
166.15  11625.156
166.1  11603.994
166.05  11540.209
166  11616.17
165.95  11755.901
165.9  11596.191
165.85  11594.019
165.8  11592.181
165.75  11669.445
165.7  11646.088
165.65  11625.35
165.6  11663.16
165.55  11660.325
165.5  11685.544
165.45  11594.759
165.4  11673.391
165.35  11594.811
165.3  11689.519
165.25  11675.522
165.2  11748.894
165.15  11791.36
165.1  11790.687
165.05  11838.975
165  11802.234
164.95  11806.159
164.9  11856.317
164.85  11896.842
164.8  11897.847
164.75  11806.106
164.7  11829.562
164.65  11886.094
164.6  11999.153
164.55  11937.574
164.5  11954.367
164.45  11984.146
164.4  11905.099
164.35  11878.051
164.3  11916.207
164.25  11832.366
164.2  11922.517
164.15  11882.991
164.1  11904.821
164.05  11970.211
164  11993.197
163.95  12061.421
163.9  12062.39
163.85  12143.803
163.8  12202.558
163.75  12212.269
163.7  12275.821
163.65  12386.364
163.6  12339.922
163.55  12319.376
163.5  12307.853
163.45  12308.622
163.4  12193.971
163.35  12225.321
163.3  12224.479
163.25  12064.317
163.2  12078.028
163.15  11981.739
163.1  11898.935
163.05  11878.157
163  11928.208
162.95  11949.296
162.9  11947.637
162.85  11949.574
162.8  12008.399
162.75  12071.921
162.7  12075.56
162.65  12092.977
162.6  12096.103
162.55  12150.716
162.5  12105.793
162.45  12098.557
162.4  12022.572
162.35  11998.64
162.3  11936.023
162.25  11939.128
162.2  11864.183
162.15  11740.276
162.1  11735.68
162.05  11714.105
162  11656.667
161.95  11700.446
161.9  11611.794
161.85  11605.664
161.8  11565.107
161.75  11607.232
161.7  11496.389
161.65  11543.649
161.6  11622.687
161.55  11686.525
161.5  11630.777
161.45  11647.186
161.4  11586.203
161.35  11526.066
161.3  11673.585
161.25  11669.985
161.2  11515.706
161.15  11545.352
161.1  11519.955
161.05  11549.417
161  11593.266
160.95  11648.222
160.9  11631.799
160.85  11587.594
160.8  11625.772
160.75  11706.6
160.7  11806.591
160.65  11745.072
160.6  11617.708
160.55  11626.91
160.5  11621.43
160.45  11544.06
160.4  11626.668
160.35  11608.037
160.3  11591.548
160.25  11568.692
160.2  11482.863
160.15  11609.882
160.1  11598.164
160.05  11649.069
160  11734.523
159.95  11667.136
159.9  11616.13
159.85  11607.883
159.8  11628.129
159.75  11696.122
159.7  11656.735
159.65  11666.496
159.6  11606.268
159.55  11618.86
159.5  11664.952
159.45  11753.666
159.4  11705.972
159.35  11665.357
159.3  11614.018
159.25  11711.508
159.2  11679.37
159.15  11732.417
159.1  11770.416
159.05  11749.159
159  11742.065

