# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Spectrum Group
#
# Region:                       Au (0)
# Spectrum ID:                  13
# Acquisition Date:             06/10/22 18:25:39 UTC
# Analysis Method:              XPS
# Analyzer Lens:                MediumArea:3.5kV
# Analyzer Slit:                5:7x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 281
# Dwell Time:                   0.1
# Excitation Energy:            1486.71
# Binding Energy:               94
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1750
# Eff. Workfunction:            4.341
# Source:                       Focus
# Comment:                      sin irradiar

# Cycle: 0
#
# Number of Scans: 5

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/10/22 18:25:39 UTC
# ColumnLabels:                 energy counts/s
#
94  9542.5653
93.95  9676.3531
93.9  9491.5267
93.85  9630.8996
93.8  9649.6262
93.75  9737.7312
93.7  9606.0726
93.65  9642.7381
93.6  9781.9758
93.55  9826.4826
93.5  9750.6734
93.45  9641.777
93.4  9815.5972
93.35  9897.111
93.3  9895.4725
93.25  9994.7086
93.2  10100.717
93.15  9934.1733
93.1  10000.938
93.05  10005.524
93  10012.545
92.95  10067.986
92.9  10320.065
92.85  10400.439
92.8  10408.91
92.75  10512.727
92.7  10327.539
92.65  10441.858
92.6  10684.305
92.55  10916.301
92.5  10527.256
92.45  10477.431
92.4  10625.626
92.35  10905.289
92.3  10717.89
92.25  10671.162
92.2  11125.736
92.15  11070.746
92.1  10977.873
92.05  11153.246
92  11063.044
91.95  10886.875
91.9  11004.185
91.85  11181.167
91.8  11232.942
91.75  11215.756
91.7  11371.076
91.65  11235.426
91.6  11291.698
91.55  11151.207
91.5  11523.725
91.45  11712.68
91.4  11698.289
91.35  11396.18
91.3  11301.473
91.25  11366.794
91.2  11537.377
91.15  11819.44
91.1  11840.727
91.05  12034.247
91  12137.795
90.95  12184.624
90.9  12472.387
90.85  12545.535
90.8  12781.923
90.75  13338.112
90.7  13528.76
90.65  13940.064
90.6  14305.803
90.55  14762.754
90.5  15302.359
90.45  15909.144
90.4  16491.715
90.35  17477.118
90.3  18397.828
90.25  19105.055
90.2  20611.992
90.15  22141.093
90.1  23803.72
90.05  25724.853
90  28142.334
89.95  30795.07
89.9  35493.068
89.85  40127.246
89.8  46120.129
89.75  53072.131
89.7  60178.967
89.65  68711.236
89.6  77629.808
