# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Spectrum Group
#
# Region:                       Au (2)
# Spectrum ID:                  23
# Acquisition Date:             06/10/22 20:02:14 UTC
# Analysis Method:              XPS
# Analyzer Lens:                MediumArea:3.5kV
# Analyzer Slit:                5:7x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 281
# Dwell Time:                   0.1
# Excitation Energy:            1486.71
# Binding Energy:               94
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1750
# Eff. Workfunction:            4.341
# Source:                       Focus
# Comment:                      10'irrad

# Cycle: 0
#
# Number of Scans: 5

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/10/22 20:02:14 UTC
# ColumnLabels:                 energy counts/s
#
94  9815.5162
93.95  9802.9435
93.9  10024.469
93.85  9909.0331
93.8  9746.2577
93.75  10004.635
93.7  9838.0165
93.65  9755.158
93.6  9924.0451
93.55  10004.367
93.5  9992.3476
93.45  10126.534
93.4  10084.916
93.35  10026.988
93.3  10052.063
93.25  10259.544
93.2  10236.948
93.15  10136.765
93.1  10221.677
93.05  10254.253
93  10336.16
92.95  10688.563
92.9  10656.25
92.85  10548.192
92.8  10437.143
92.75  10740.423
92.7  10883.508
92.65  10730.03
92.6  10612.417
92.55  10923.917
92.5  11074.268
92.45  10964.79
92.4  11081.534
92.35  11130.348
92.3  11180.38
92.25  11274.96
92.2  11341.633
92.15  11120.181
92.1  11183.857
92.05  11070.539
92  11293.994
91.95  11477.142
91.9  11511.142
91.85  11467.344
91.8  11520.05
91.75  11503.362
91.7  11646.798
91.65  11723.522
91.6  11688.899
91.55  11419.367
91.5  11292.31
91.45  11460.404
91.4  11798.689
91.35  11578.445
91.3  11569.086
91.25  11825.256
91.2  11922.769
91.15  11903.565
91.1  12263.754
91.05  12638.453
91  12801.375
90.95  13120.926
90.9  13135.606
90.85  13164.059
90.8  13290.224
90.75  13768.205
90.7  14280.6
90.65  14562.523
90.6  14965.779
90.55  15942.879
90.5  16122.454
90.45  16915.348
90.4  17604.09
90.35  18518.104
90.3  19670.434
90.25  20737.834
90.2  22040.719
90.15  23689.4
90.1  26069.696
90.05  28147.822
90  30833.605
89.95  34214.476
89.9  38444.66
89.85  44068.439
89.8  50836.525
89.75  57948.486
89.7  66950.051
89.65  77774.723
89.6  88333.381
89.55  100290.72
89.5  111819.8
89.45  121963.39
89.4  130363.75
89.35  136014.82
89.3  139628.21
89.25  137603.38
89.2  133009.9
89.15  122463.25
89.1  109328.72
89.05  95881.966
89  80947.204
88.95  67677.288
88.9  56255.048
88.85  47002.118
88.8  39150.654
88.75  33848.198
88.7  29441.879
88.65  25623.456
88.6  23187.212
88.55  20790.286
88.5  19214.294
88.45  17987.565
88.4  16702.359
88.35  15901.36
88.3  15140.256
88.25  14695.041
88.2  14142.557
88.15  13525.803
88.1  12886.143
88.05  12842.777
88  12346.394
87.95  12264.596
87.9  12212.893
87.85  12079.107
87.8  11756.677
87.75  11554.627
87.7  11450.247
87.65  11175.712
87.6  11236.753
87.55  11145.482
87.5  11187.187
87.45  11316.876
87.4  11562.111
87.35  11567.836
87.3  11602.495
87.25  11890.611
87.2  11917.052
87.15  12229.976
87.1  12777.647
87.05  13088.563
87  13190.931
86.95  14057.154
86.9  14609.498
86.85  14995.923
86.8  15773.566
86.75  16391.022
86.7  17471.626
86.65  18659.361
86.6  20014.536
86.55  21187.406
86.5  23109.431
86.45  25562.307
86.4  28396.686
86.35  31978.247
86.3  36100.978
86.25  40849.76
86.2  46965.791
86.15  54530.923
86.1  63797.846
86.05  74720.983
86  87154.127
85.95  101234.88
85.9  116498.39
85.85  131210.22
85.8  145721.66
85.75  159469.81
85.7  168491.85
85.65  173864.38
85.6  175733.17
85.55  170326.62
85.5  160901.85
85.45  145743.06
85.4  126828.35
85.35  106147.97
85.3  88101.427
85.25  71296.321
85.2  57861.908
85.15  46734.579
85.1  38463.681
85.05  32248.343
85  27156.594
84.95  23587.509
84.9  20232.553
84.85  17303.608
84.8  15556.529
84.75  13949.985
84.7  12541.871
84.65  11536.176
84.6  10631.868
84.55  9969.0612
84.5  9283.5167
84.45  8670.9138
84.4  8232.5306
84.35  7635.2752
84.3  7240.2605
84.25  7006.0036
84.2  6760.732
84.15  6514.1477
84.1  6141.2127
84.05  6095.0903
84  5775.7976
83.95  5576.0513
83.9  5321.11
83.85  5316.0375
83.8  5101.1533
83.75  5114.2391
83.7  4974.6497
83.65  4889.8438
83.6  4660.3277
83.55  4581.9622
83.5  4383.6515
83.45  4289.7586
83.4  4234.1144
83.35  4234.7898
83.3  4189.1451
83.25  3989.3733
83.2  4015.9951
83.15  3983.9307
83.1  3928.471
83.05  3843.9957
83  3763.0676
82.95  3580.0563
82.9  3631.0588
82.85  3643.8181
82.8  3418.6237
82.75  3417.7667
82.7  3557.0321
82.65  3447.8418
82.6  3417.4318
82.55  3355.7075
82.5  3410.1632
82.45  3342.3682
82.4  3281.1152
82.35  3293.2043
82.3  3242.548
82.25  3175.6306
82.2  3112.6428
82.15  3133.2251
82.1  3132.8259
82.05  3159.3369
82  2998.9698
81.95  3012.0941
81.9  3022.7764
81.85  2981.27
81.8  3046.9529
81.75  3036.6706
81.7  2949.3724
81.65  2973.3292
81.6  2991.9639
81.55  2988.8049
81.5  2842.2949
81.45  2835.6074
81.4  2867.6672
81.35  3025.202
81.3  2932.1085
81.25  3054.272
81.2  2894.3691
81.15  2915.3342
81.1  2846.5088
81.05  2811.9161
81  2757.3433
80.95  2799.2663
80.9  2964.9133
80.85  2808.7722
80.8  2881.7657
80.75  2857.4745
80.7  2921.5898
80.65  2821.8475
80.6  2941.4702
80.55  2888.7743
80.5  2902.4754
80.45  2809.5975
80.4  2854.7575
80.35  2893.9704
80.3  2838.9118
80.25  2737.5059
80.2  2830.8675
80.15  2807.4208
80.1  2793.0685
80.05  2715.4606
80  2874.1395

