# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Spectrum Group
#
# Region:                       C (3)
# Spectrum ID:                  27
# Acquisition Date:             06/10/22 20:38:52 UTC
# Analysis Method:              XPS
# Analyzer Lens:                MediumArea:3.5kV
# Analyzer Slit:                5:7x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 201
# Dwell Time:                   0.1
# Excitation Energy:            1486.71
# Binding Energy:               290
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1750
# Eff. Workfunction:            4.341
# Source:                       Focus
# Comment:                      15'irrad

# Cycle: 0
#
# Number of Scans: 6

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/10/22 20:38:52 UTC
# ColumnLabels:                 energy counts/s
#
290  9605.2291
289.95  9840.2564
289.9  9849.2169
289.85  9950.5168
289.8  9705.8531
289.75  9815.2729
289.7  9652.4295
289.65  9657.6043
289.6  9564.2825
289.55  9684.4074
289.5  9804.6454
289.45  9685.6918
289.4  9662.159
289.35  9786.5773
289.3  9872.0398
289.25  9707.2489
289.2  9651.2529
289.15  9891.4059
289.1  9724.4981
289.05  9942.6197
289  9738.1102
288.95  9967.786
288.9  9937.6365
288.85  9677.4704
288.8  9785.6803
288.75  9681.256
288.7  9904.0215
288.65  9980.8368
288.6  10047.391
288.55  10262.056
288.5  10153.805
288.45  10046.583
288.4  10150.032
288.35  9989.1357
288.3  10127.602
288.25  10093.923
288.2  10149.01
288.15  9933.8939
288.1  10080.049
288.05  10203.33
288  10366.536
287.95  10361.704
287.9  10288.442
287.85  10466.387
287.8  10474.858
287.75  10472.852
287.7  10406.808
287.65  10389.345
287.6  10406.577
287.55  10144.082
287.5  10481.097
287.45  10317.657
287.4  10341.541
287.35  10617.869
287.3  10528.297
287.25  10543.609
287.2  10514.662
287.15  10548.49
287.1  10605.894
287.05  10515.36
287  10530.337
286.95  10718.524
286.9  10628.136
286.85  10585.53
286.8  10410.895
286.75  10802.808
286.7  10788.179
286.65  10901.614
286.6  10873.97
286.55  10841.782
286.5  10855.004
286.45  11017.476
286.4  10883.553
286.35  10983.271
286.3  10934.078
286.25  10939.882
286.2  10876.185
286.15  10871.393
286.1  11026.955
286.05  11115.382
286  11058.171
285.95  11188.195
285.9  11189.929
285.85  11389.351
285.8  11280.252
285.75  11007.446
285.7  10891.571
285.65  10786.132
285.6  10633.134
285.55  10615.403
285.5  10529.784
285.45  10666.281
285.4  10465.687
285.35  10519.335
285.3  10371.491
285.25  10192.248
285.2  10169.094
285.15  9869.0256
285.1  9705.8194
285.05  9885.3139
285  9924.149
284.95  9950.8763
284.9  9812.7377
284.85  9514.2037
284.8  9600.3766
284.75  9633.098
284.7  9817.9741
284.65  9725.8517
284.6  9283.1445
284.55  9582.2959
284.5  9851.1638
284.45  9750.6084
284.4  9703.5407
284.35  9426.6993
284.3  9580.0165
284.25  9522.0068
284.2  9391.778
284.15  9528.2635
284.1  9408.2672
284.05  9505.7297
284  9549.587
283.95  9554.5934
283.9  9571.7802
283.85  9544.4889
283.8  9544.4483
283.75  9434.2228
283.7  9426.5685
283.65  9687.3963
283.6  9677.8372
283.55  9502.9978
283.5  9596.9073
283.45  9508.339
283.4  9476.4731
283.35  9609.1414
283.3  9443.8845
283.25  9524.5369
283.2  9614.1307
283.15  9394.7059
283.1  9607.7795
283.05  9620.7112
283  9463.4048
282.95  9456.1973
282.9  9546.8801
282.85  9585.5528
282.8  9615.6696
282.75  9615.0667
282.7  9471.0366
282.65  9531.2983
282.6  9295.7576
282.55  9463.665
282.5  9589.9499
282.45  9526.4052
282.4  9612.1311
282.35  9529.1751
282.3  9487.6783
282.25  9663.3915
282.2  9741.5932
282.15  9505.4725
282.1  9690.1327
282.05  9536.5489
282  9404.9711
281.95  9549.864
281.9  9500.0964
281.85  9433.9565
281.8  9420.793
281.75  9543.2986
281.7  9633.4885
281.65  9396.2306
281.6  9563.3566
281.55  9804.6718
281.5  9583.9853
281.45  9438.0267
281.4  9404.9108
281.35  9568.1286
281.3  9395.1237
281.25  9401.393
281.2  9501.7609
281.15  9563.5445
281.1  9562.1082
281.05  9707.6905
281  9620.3381
280.95  9548.525
280.9  9458.6315
280.85  9581.786
280.8  9466.9973
280.75  9373.6475
280.7  9517.6318
280.65  9657.4518
280.6  9624.4818
280.55  9577.4752
280.5  9578.4632
280.45  9585.7358
280.4  9538.5024
280.35  9576.8619
280.3  9474.0088
280.25  9573.9014
280.2  9362.0095
280.15  9371.1831
280.1  9546.0821
280.05  9582.5597
280  9725.3383

