# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Spectrum Group
#
# Region:                       VB (3)
# Spectrum ID:                  29
# Acquisition Date:             06/10/22 20:46:44 UTC
# Analysis Method:              XPS
# Analyzer Lens:                MediumArea:3.5kV
# Analyzer Slit:                5:7x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 281
# Dwell Time:                   0.1
# Excitation Energy:            1486.71
# Binding Energy:               12
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1750
# Eff. Workfunction:            4.341
# Source:                       Focus
# Comment:                      15'irrad

# Cycle: 0
#
# Number of Scans: 5

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/10/22 20:46:44 UTC
# ColumnLabels:                 energy counts/s
#
12  1093.5099
11.95  1037.086
11.9  1158.0549
11.85  1131.273
11.8  1125.9862
11.75  1171.4502
11.7  1163.9148
11.65  1172.5429
11.6  1193.0895
11.55  1280.1453
11.5  1167.3595
11.45  1177.1425
11.4  1244.8171
11.35  1144.9267
11.3  1264.9508
11.25  1212.5458
11.2  1197.112
11.15  1158.9343
11.1  1188.4304
11.05  1247.6738
11  1239.6879
10.95  1285.1113
10.9  1264.2186
10.85  1335.6611
10.8  1358.3281
10.75  1378.5412
10.7  1351.6875
10.65  1393.3792
10.6  1358.0211
10.55  1384.9552
10.5  1453.902
10.45  1455.0572
10.4  1496.3543
10.35  1524.6969
10.3  1635.9664
10.25  1676.6398
10.2  1652.7659
10.15  1674.7266
10.1  1725.2493
10.05  1763.5568
10  1705.7977
9.95  1775.2258
9.9  1918.6127
9.85  1971.8381
9.8  2058.5637
9.75  2288.2677
9.7  2357.1716
9.65  2469.8717
9.6  2607.5767
9.55  2803.9178
9.5  2947.5199
9.45  3093.0479
9.4  3322.9485
9.35  3472.1313
9.3  3673.8647
9.25  3916.0102
9.2  4266.4721
9.15  4513.3462
9.1  4712.1184
9.05  5022.288
9  4987.2373
8.95  5102.9919
8.9  5184.7656
8.85  5532.9908
8.8  5735.0453
8.75  5775.8773
8.7  5911.6068
8.65  6022.8926
8.6  6026.3656
8.55  5990.8852
8.5  6199.4933
8.45  6275.9472
8.4  6472.9039
8.35  6581.6705
8.3  6641.6105
8.25  6771.2287
8.2  6857.297
8.15  6937.5374
8.1  7256.3296
8.05  7226.306
8  7425.3201
7.95  7476.1439
7.9  7710.84
7.85  7485.8879
7.8  7487.7149
7.75  7362.6154
7.7  7187.7137
7.65  6840.5519
7.6  6441.7208
7.55  6193.8312
7.5  6050.1687
7.45  5737.5642
7.4  5540.6683
7.35  5414.6989
7.3  5279.3911
7.25  5090.5942
7.2  5011.5169
7.15  4968.0314
7.1  4860.8774
7.05  4911.5864
7  4937.6598
6.95  4685.0958
6.9  4643.4209
6.85  4652.2319
6.8  4726.1617
6.75  4757.8378
6.7  4860.3622
6.65  4866.8201
6.6  4985.0557
6.55  5005.649
6.5  4976.6221
6.45  5043.1264
6.4  5223.262
6.35  5420.9116
6.3  5563.899
6.25  5522.7592
6.2  5792.347
6.15  6048.0013
6.1  6127.8206
6.05  6445.3304
6  6681.9989
5.95  6582.3836
5.9  6748.797
5.85  6896.1773
5.8  7140.5586
5.75  7132.155
5.7  7331.5597
5.65  7184.5366
5.6  7061.2573
5.55  7072.9409
5.5  7173.7239
5.45  7185.8633
5.4  7218.7131
5.35  6977.7251
5.3  7067.7248
5.25  7205.5381
5.2  6868.6711
5.15  6743.0401
5.1  6849.1994
5.05  6954.4032
5  6966.9536
4.95  7158.8525
4.9  6992.3631
4.85  6734.3372
4.8  6813.2287
4.75  6910.3778
4.7  6964.0028
4.65  6966.2282
4.6  7101.4972
4.55  7388.9461
4.5  7409.1858
4.45  7538.9948
4.4  7441.1234
4.35  7320.8526
4.3  7505.5178
4.25  7547.9788
4.2  7497.4052
4.15  7171.7068
4.1  6702.4697
4.05  6078.3823
4  5647.387
3.95  5175.678
3.9  4683.1257
3.85  4191.3399
3.8  3671.1636
3.75  3288.6558
3.7  2872.5766
3.65  2616.2115
3.6  2346.6107
3.55  2152.2884
3.5  1836.4059
3.45  1761.3722
3.4  1655.6103
3.35  1558.8166
3.3  1414.0646
3.25  1342.6214
3.2  1341.6635
3.15  1228.8481
3.1  1179.529
3.05  1193.4025
3  1244.2061
2.95  1182.8435
2.9  1102.8094
2.85  1035.5917
2.8  1007.3256
2.75  999.60921
2.7  982.85358
2.65  1063.4238
2.6  1075.7814
2.55  965.35999
2.5  954.48909
2.45  882.17399
2.4  837.92313
2.35  836.36202
2.3  905.25017
2.25  935.5212
2.2  910.99383
2.15  821.81443
2.1  758.77715
2.05  795.7697
2  784.94414
1.95  735.16457
1.9  673.76496
1.85  610.64541
1.8  547.81751
1.75  510.8337
1.7  439.34405
1.65  388.4419
1.6  328.07255
1.55  222.56622
1.5  167.51203
1.45  110.38063
1.4  85.726131
1.35  63.778096
1.3  57.149053
1.25  46.366976
1.2  43.391848
1.15  31.993651
1.1  40.643037
1.05  40.383851
1  41.380096
0.95  35.779077
0.9  48.638536
0.85  31.73036
0.8  28.61
0.75  30.971392
0.7  34.568368
0.65  28.93
0.6  19.05604
0.55  25.360472
0.5  23.634448
0.45  37.45497
0.4  37.25275
0.35  41.4796
0.3  29.44229
0.25  20.555113
0.2  22.51348
0.15  23.13548
0.1  19.765365
0.05  19.527546
0  26.94299
-0.05  31.010976
-0.1  33.489584
-0.15  27.775616
-0.2  15.75304
-0.25  22.434883
-0.3  26.801274
-0.35  24.345043
-0.4  28.581888
-0.45  30.891275
-0.5  19.542597
-0.55  13.18536
-0.6  22.46916
-0.65  21.335368
-0.7  17.792672
-0.75  14.723606
-0.8  23.465354
-0.85  21.088624
-0.9  24.588816
-0.95  20.770864
-1  14.51264
-1.05  30.958016
-1.1  20.09564
-1.15  15.65444
-1.2  18.30944
-1.25  19.664104
-1.3  13.166264
-1.35  21.759312
-1.4  19.954304
-1.45  13.135683
-1.5  13.913536
-1.55  16.820037
-1.6  10.99956
-1.65  14.2554
-1.7  14.52188
-1.75  12.539392
-1.8  14.986712
-1.85  18.081736
-1.9  12.51312
-1.95  10.106504
-2  13.802539

