# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Spectrum Group
#
# Region:                       C (0)
# Spectrum ID:                  12
# Acquisition Date:             06/10/22 18:21:43 UTC
# Analysis Method:              XPS
# Analyzer Lens:                MediumArea:3.5kV
# Analyzer Slit:                5:7x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 201
# Dwell Time:                   0.1
# Excitation Energy:            1486.71
# Binding Energy:               290
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1750
# Eff. Workfunction:            4.341
# Source:                       Focus
# Comment:                      sin irradiar

# Cycle: 0
#
# Number of Scans: 6

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/10/22 18:21:43 UTC
# ColumnLabels:                 energy counts/s
#
290  9842.0467
289.95  9910.5499
289.9  9826.3946
289.85  9850.2624
289.8  9902.3294
289.75  9931.4939
289.7  9902.9783
289.65  9787.2468
289.6  9864.5611
289.55  9949.062
289.5  9949.0854
289.45  9725.5931
289.4  9908.9787
289.35  10147.711
289.3  9842.9978
289.25  9914.3005
289.2  9803.2936
289.15  9859.8432
289.1  9644.3456
289.05  9882.0822
289  9851.552
288.95  9927.3161
288.9  9904.71
288.85  9878.8213
288.8  9795.9646
288.75  10018.213
288.7  9896.4659
288.65  9847.0659
288.6  10047.161
288.55  9986.1446
288.5  10065.336
288.45  10041.895
288.4  10194.673
288.35  10002.911
288.3  10107.745
288.25  10264.889
288.2  10086.788
288.15  10293.911
288.1  10153.924
288.05  10284.821
288  10220.49
287.95  10382.107
287.9  10467.673
287.85  10600.389
287.8  10498.513
287.75  10447.039
287.7  10319.408
287.65  10475.741
287.6  10483.178
287.55  10483.35
287.5  10437.949
287.45  10627.799
287.4  10508.556
287.35  10825.217
287.3  10666.066
287.25  10673.328
287.2  10728.367
287.15  10888.868
287.1  10693.158
287.05  10961.015
287  10693.614
286.95  10707.054
286.9  10689.488
286.85  10760.894
286.8  10595.176
286.75  10603.944
286.7  10825.469
286.65  10755.885
286.6  10846.325
286.55  10896.336
286.5  10946.919
286.45  10628.794
286.4  10585.493
286.35  10823.211
286.3  10934.364
286.25  10976.246
286.2  10790.179
286.15  10986.626
286.1  10955.131
286.05  11052.3
286  10784.69
285.95  10842.62
285.9  10822.793
285.85  11102.216
285.8  11281.738
285.75  11118.017
285.7  11280.125
285.65  11461.592
285.6  11276.931
285.55  11219.446
285.5  11133.15
285.45  11210.952
285.4  11266.473
285.35  11192.146
285.3  11228.112
285.25  11146.8
285.2  11343.533
285.15  11293.999
285.1  11329.419
285.05  11168.936
285  11203.384
284.95  11043.563
284.9  11031.918
284.85  10859.047
284.8  10679.888
284.75  10451.91
284.7  10377.809
284.65  10393.34
284.6  10160.563
284.55  10282.831
284.5  9953.9333
284.45  9944.9369
284.4  9996.1186
284.35  9882.3622
284.3  9795.002
284.25  9749.1601
284.2  9852.7366
284.15  9695.7081
284.1  9632.1787
284.05  9612.8735
284  9767.9223
283.95  9623.334
283.9  9477.1028
283.85  9643.0949
283.8  9667.5881
283.75  9806.9909
283.7  9897.9269
283.65  9631.2539
283.6  9308.4453
283.55  9615.7349
283.5  9439.8703
283.45  9476.981
283.4  9637.3444
283.35  9644.7873
283.3  9580.8718
283.25  9512.554
283.2  9625.5213
283.15  9668.109
283.1  9505.8793
283.05  9636.7251
283  9474.0013
282.95  9522.8483
282.9  9361.338
282.85  9717.2646
282.8  9643.4503
282.75  9796.8323
282.7  9625.6481
282.65  9463.2022
282.6  9500.5094
282.55  9768.6232
282.5  9781.4629
282.45  9638.6219
282.4  9629.3838
282.35  9461.1247
282.3  9499.4815
282.25  9741.4275
282.2  9734.1412
282.15  9427.6685
282.1  9470.4509
282.05  9499.8116
282  9504.8128
281.95  9435.2087
281.9  9472.7077
281.85  9613.7953
281.8  9510.3121
281.75  9503.4377
281.7  9221.3327
281.65  9435.0391
281.6  9372.2151
281.55  9618.49
281.5  9767.9748
281.45  9584.5034
281.4  9612.7513
281.35  9464.0741
281.3  9512.7454
281.25  9625.5473
281.2  9774.3102
281.15  9746.8107
281.1  9616.8655
281.05  9632.2802
281  9676.5939
280.95  9626.4711
280.9  9575.4024
280.85  9432.7879
280.8  9732.2919
280.75  9517.4639
280.7  9587.2789
280.65  9698.2611
280.6  9700.5107
280.55  9567.6407
280.5  9603.7206
280.45  9731.7065
280.4  9879.5053
280.35  9658.7854
280.3  9564.8252
280.25  9717.6184
280.2  9714.9987
280.15  9641.225
280.1  9665.2396
280.05  9563.1427
280  9470.2005

