# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Spectrum Group
#
# Region:                       VB (0)
# Spectrum ID:                  14
# Acquisition Date:             06/10/22 18:32:46 UTC
# Analysis Method:              XPS
# Analyzer Lens:                MediumArea:3.5kV
# Analyzer Slit:                5:7x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 281
# Dwell Time:                   0.1
# Excitation Energy:            1486.71
# Binding Energy:               12
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1750
# Eff. Workfunction:            4.341
# Source:                       Focus
# Comment:                      sin irradiar

# Cycle: 0
#
# Number of Scans: 10

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/10/22 18:32:46 UTC
# ColumnLabels:                 energy counts/s
#
12  1050.1356
11.95  1066.9724
11.9  1056.3112
11.85  1024.7981
11.8  1096.1723
11.75  1129.976
11.7  1090.1845
11.65  1066.2764
11.6  1139.1913
11.55  1099.7636
11.5  1176.2909
11.45  1189.2143
11.4  1175.7293
11.35  1166.7423
11.3  1178.012
11.25  1167.4454
11.2  1205.3895
11.15  1235.8662
11.1  1269.3916
11.05  1245.0236
11  1228.4563
10.95  1282.0376
10.9  1295.4721
10.85  1289.4365
10.8  1273.8459
10.75  1314.0724
10.7  1308.5865
10.65  1318.5319
10.6  1368.7769
10.55  1429.1844
10.5  1419.7473
10.45  1408.9567
10.4  1405.3183
10.35  1435.9678
10.3  1550.3134
10.25  1549.2233
10.2  1530.0445
10.15  1545.2141
10.1  1571.8651
10.05  1703.3988
10  1810.1243
9.95  1763.3042
9.9  1735.1536
9.85  1928.2719
9.8  2083.7099
9.75  2179.2182
9.7  2331.6731
9.65  2382.5712
9.6  2595.7589
9.55  2754.5901
9.5  2906.6869
9.45  3086.7814
9.4  3329.3968
9.35  3441.4015
9.3  3691.8227
9.25  3897.65
9.2  4123.6289
9.15  4342.6112
9.1  4493.5071
9.05  4656.2561
9  4893.4182
8.95  5078.0851
8.9  5223.3963
8.85  5454.0041
8.8  5467.2248
8.75  5621.5082
8.7  5749.0893
8.65  5849.5298
8.6  5840.7117
8.55  5860.5548
8.5  6089.2507
8.45  5997.0892
8.4  6148.2323
8.35  6285.5152
8.3  6406.9898
8.25  6579.4816
8.2  6729.4897
8.15  6928.6124
8.1  6977.7957
8.05  6960.3252
8  7117.1762
7.95  7288.0871
7.9  7358.775
7.85  7329.1021
7.8  7317.8563
7.75  7089.2843
7.7  6834.2276
7.65  6604.0886
7.6  6290.9952
7.55  5981.9931
7.5  5673.527
7.45  5555.3462
7.4  5219.4208
7.35  5199.1196
7.3  4956.6726
7.25  4871.4877
7.2  4943.3064
7.15  4751.471
7.1  4613.4102
7.05  4655.6609
7  4667.1304
6.95  4568.359
6.9  4718.9553
6.85  4640.5818
6.8  4691.9569
6.75  4753.7615
6.7  4861.8025
6.65  4802.7635
6.6  4866.7687
6.55  4825.9484
6.5  4920.202
6.45  4954.3431
6.4  5036.9618
6.35  5124.2589
6.3  5355.172
6.25  5470.7748
6.2  5633.9478
6.15  5844.5783
6.1  5994.9555
6.05  6156.5517
6  6303.2048
5.95  6413.9129
5.9  6621.1568
5.85  6525.3273
5.8  6563.7391
5.75  6782.3187
5.7  6813.774
5.65  6814.0096
5.6  6874.4655
5.55  6832.939
5.5  6909.4671
5.45  6858.4944
5.4  6752.3092
5.35  6789.6599
5.3  6817.1269
5.25  6854.5451
5.2  6658.0476
5.15  6647.8693
5.1  6710.6579
5.05  6809.3548
5  6539.6115
4.95  6594.3402
4.9  6677.1525
4.85  6615.28
4.8  6486.4788
4.75  6651.8234
4.7  6721.9615
4.65  6749.9882
4.6  6993.0851
4.55  7037.5794
4.5  7140.6669
4.45  7277.9465
4.4  7275.1713
4.35  7374.5833
4.3  7330.831
4.25  7109.2565
4.2  6876.8359
4.15  6766.3529
4.1  6434.2535
4.05  5880.0551
4  5550.6138
3.95  5125.2352
3.9  4455.7671
3.85  3982.32
3.8  3497.2937
3.75  3165.0193
3.7  2886.8789
3.65  2527.0957
3.6  2289.9624
3.55  2022.3006
3.5  1860.4986
3.45  1735.6986
3.4  1581.0675
3.35  1543.7416
3.3  1481.5898
3.25  1387.5641
3.2  1313.5698
3.15  1269.1888
3.1  1211.1871
3.05  1139.2913
3  1128.8888
2.95  1106.2222
2.9  1098.2952
2.85  1087.86
2.8  1025.4248
2.75  1054.1111
2.7  1003.8958
2.65  990.45816
2.6  1004.389
2.55  988.31963
2.5  1017.8915
2.45  920.23223
2.4  919.02453
2.35  859.03022
2.3  830.94513
2.25  861.5276
2.2  832.26255
2.15  814.18906
2.1  849.15615
2.05  834.49633
2  758.9924
1.95  739.72862
1.9  644.60512
1.85  613.85257
1.8  558.01505
1.75  478.39777
1.7  403.924
1.65  356.69556
1.6  290.29123
1.55  198.05972
1.5  154.16799
1.45  121.76303
1.4  82.283037
1.35  66.131632
1.3  53.84879
1.25  40.227197
1.2  41.296695
1.15  39.15088
1.1  33.481928
1.05  37.977336
1  37.390478
0.95  31.583002
0.9  29.134797
0.85  30.308643
0.8  29.544343
0.75  31.254054
0.7  26.832055
0.65  28.598532
0.6  26.849449
0.55  31.215843
0.5  21.766823
0.45  16.547236
0.4  27.190511
0.35  22.523339
0.3  29.226011
0.25  22.171099
0.2  24.153104
0.15  28.272353
0.1  20.173255
0.05  28.098428
0  25.247328
-0.05  32.009356
-0.1  28.406868
-0.15  24.7038
-0.2  17.794704
-0.25  21.496302
-0.3  22.65575
-0.35  14.85158
-0.4  24.379228
-0.45  20.728965
-0.5  25.483803
-0.55  23.067241
-0.6  18.468857
-0.65  18.490719
-0.7  24.364755
-0.75  17.909084
-0.8  23.755572
-0.85  22.018604
-0.9  21.313832
-0.95  28.21096
-1  28.231348
-1.05  14.396932
-1.1  20.71046
-1.15  24.0386
-1.2  22.181928
-1.25  16.156304
-1.3  13.222656
-1.35  21.211125
-1.4  15.154619
-1.45  18.254156
-1.5  18.322216
-1.55  31.149764
-1.6  13.87046
-1.65  16.125865
-1.7  15.037252
-1.75  15.035283
-1.8  11.866072
-1.85  14.898396
-1.9  8.932692
-1.95  9.3212
-2  13.56762

