# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Spectrum Group
#
# Region:                       O (0)
# Spectrum ID:                  15
# Acquisition Date:             06/10/22 18:37:05 UTC
# Analysis Method:              XPS
# Analyzer Lens:                MediumArea:3.5kV
# Analyzer Slit:                5:7x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 241
# Dwell Time:                   0.1
# Excitation Energy:            1486.71
# Binding Energy:               539
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1750
# Eff. Workfunction:            4.341
# Source:                       Focus
# Comment:                      sin irradiar

# Cycle: 0
#
# Number of Scans: 5

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/10/22 18:37:05 UTC
# ColumnLabels:                 energy counts/s
#
539  20396.449
538.95  20416.09
538.9  19998.655
538.85  20045.281
538.8  20206.237
538.75  19979.24
538.7  20375.96
538.65  20092.843
538.6  19998.145
538.55  20384.762
538.5  20448.076
538.45  20474.336
538.4  20329.259
538.35  19893.616
538.3  20000.427
538.25  20204.684
538.2  20238.259
538.15  20105.692
538.1  20603.49
538.05  20215.632
538  20087.655
537.95  19990.353
537.9  19752.198
537.85  20214.615
537.8  20246.642
537.75  20305.8
537.7  20100.31
537.65  20139.233
537.6  20130.82
537.55  20471.545
537.5  20245.848
537.45  20333.182
537.4  20008.597
537.35  20057.637
537.3  20262.735
537.25  20049.209
537.2  20351.65
537.15  19927.661
537.1  20227.503
537.05  19952.179
537  20018.727
536.95  20016.429
536.9  20128.891
536.85  20465.838
536.8  20144.73
536.75  20270.125
536.7  20234.34
536.65  20024.494
536.6  20030.177
536.55  20061.591
536.5  20356.404
536.45  20709.631
536.4  20715.258
536.35  20851.898
536.3  20778.816
536.25  20685.051
536.2  20933.923
536.15  21029.918
536.1  20795.146
536.05  20870.82
536  20747.898
535.95  21145.179
535.9  21358.579
535.85  21324.225
535.8  21641.95
535.75  21926.804
535.7  21653.471
535.65  22176.938
535.6  22643.138
535.55  22863.795
535.5  22821.183
535.45  23002.333
535.4  23961.314
535.35  24823.654
535.3  25022.072
535.25  25500.977
535.2  26241.479
535.15  26583.606
535.1  27317.909
535.05  28104.009
535  28790.829
534.95  29894.546
534.9  30278.37
534.85  31127.745
534.8  31937.718
534.75  32841.328
534.7  33480.688
534.65  33803.466
534.6  34702.157
534.55  35160.111
534.5  35833.087
534.45  36345.268
534.4  36661.122
534.35  36736.861
534.3  36976.111
534.25  36768.903
534.2  36788.673
534.15  36580.862
534.1  36183.204
534.05  35886.826
534  35212.32
533.95  33949.805
533.9  33459.018
533.85  32870.847
533.8  32085.547
533.75  31914.24
533.7  30651.643
533.65  29706.686
533.6  28604.213
533.55  27523.173
533.5  27549.474
533.45  26578.677
533.4  25785.223
533.35  25099.154
533.3  25106.243
533.25  24324.159
533.2  23645.143
533.15  23462.338
533.1  23426.175
533.05  23304.223
533  22870.634
532.95  22653.581
532.9  22083.126
532.85  21844.999
532.8  22034.744
532.75  21842.094
532.7  21965.887
532.65  21538.428
532.6  21389.365
532.55  21341.203
532.5  21573.761
532.45  21193.219
532.4  21097.198
532.35  21172.538
532.3  21034.469
532.25  20953.977
532.2  20631.007
532.15  20425.183
532.1  20116.2
532.05  20326.351
532  19996.535
531.95  20153.013
531.9  20127.386
531.85  20100.379
531.8  20052.907
531.75  20051.373
531.7  19901.027
531.65  19764.299
531.6  19570.195
531.55  19671.413
531.5  19761.568
531.45  19790.844
531.4  19637.99
531.35  19898.089
531.3  20034.426
531.25  19506.931
531.2  19340.261
531.15  19782.803
531.1  19498.152
531.05  19738.847
531  19583.736
530.95  19358.938
530.9  19525.036
530.85  19812.897
530.8  19600.595
530.75  19493.654
530.7  19515.762
530.65  19548.01
530.6  19630.91
530.55  19404.756
530.5  19520.296
530.45  19298.645
530.4  19344.939
530.35  19713.97
530.3  19181.354
530.25  19391.284
530.2  19612.463
530.15  19336.419
530.1  19200.647
530.05  19254.143
530  19241.279
529.95  19423.471
529.9  19217.516
529.85  19261.939
529.8  19486.685
529.75  19656.668
529.7  19400.062
529.65  19378.97
529.6  19247.214
529.55  19015.184
529.5  19181.749
529.45  19087.264
529.4  19487.975
529.35  19512.318
529.3  19455.729
529.25  19394.1
529.2  19507.036
529.15  19424.35
529.1  19342.425
529.05  19427.877
529  19111.892
528.95  19282.511
528.9  19384.611
528.85  19557.653
528.8  19335.576
528.75  19226.286
528.7  18996.561
528.65  19410.148
528.6  19256.28
528.55  19317.087
528.5  19272.18
528.45  19420.077
528.4  19449.665
528.35  19311.962
528.3  19270.188
528.25  19341.536
528.2  19501.173
528.15  19525.25
528.1  19238.195
528.05  19487.553
528  19376.369
527.95  19011.546
527.9  19063.565
527.85  18841.575
527.8  18980.356
527.75  19480.984
527.7  19404.898
527.65  19498.63
527.6  19191.207
527.55  19292.276
527.5  19297.468
527.45  19381.676
527.4  19629.69
527.35  19445.979
527.3  19145.58
527.25  19220.263
527.2  18946.488
527.15  19360.807
527.1  19363.24
527.05  19397.887
527  19499.848

