# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Spectrum Group
#
# Region:                       C (1)
# Spectrum ID:                  17
# Acquisition Date:             06/10/22 19:08:18 UTC
# Analysis Method:              XPS
# Analyzer Lens:                MediumArea:3.5kV
# Analyzer Slit:                5:7x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 201
# Dwell Time:                   0.1
# Excitation Energy:            1486.71
# Binding Energy:               290
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1750
# Eff. Workfunction:            4.341
# Source:                       Focus
# Comment:                      5'irrad

# Cycle: 0
#
# Number of Scans: 6

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/10/22 19:08:18 UTC
# ColumnLabels:                 energy counts/s
#
290  9653.4949
289.95  9649.6133
289.9  9770.0544
289.85  9812.1161
289.8  9834.038
289.75  9797.0861
289.7  9817.3187
289.65  9714.0955
289.6  9748.6367
289.55  9842.2661
289.5  9739.9273
289.45  9589.7953
289.4  9819.5142
289.35  9848.5825
289.3  9663.3652
289.25  9719.9526
289.2  9667.767
289.15  9646.0961
289.1  9780.5136
289.05  9969.2045
289  9651.0855
288.95  9635.9193
288.9  9748.9152
288.85  9907.7949
288.8  10160.263
288.75  10120.566
288.7  9934.4585
288.65  10059.103
288.6  10188.271
288.55  10085.366
288.5  10188.054
288.45  10249.198
288.4  10148.597
288.35  10020.992
288.3  10151.008
288.25  10408.367
288.2  10462.882
288.15  10381.165
288.1  10427.62
288.05  10408.295
288  10595.756
287.95  10441.289
287.9  10138.868
287.85  10244.977
287.8  10472.527
287.75  10404.704
287.7  10496.534
287.65  10550.593
287.6  10565.848
287.55  10537.155
287.5  10738.454
287.45  10702.731
287.4  10831.549
287.35  10513.58
287.3  10415.672
287.25  10526.029
287.2  10743.236
287.15  10877.397
287.1  10631.319
287.05  10568.765
287  10655.619
286.95  10618.023
286.9  10563.151
286.85  10618.9
286.8  10497.976
286.75  10572.102
286.7  10768.949
286.65  10772.531
286.6  10649.672
286.55  10766.857
286.5  10863.075
286.45  10921.553
286.4  10908.264
286.35  10860.004
286.3  10909.326
286.25  11068.547
286.2  11017.429
286.15  11115.719
286.1  11028.887
286.05  11024.06
286  10966.408
285.95  11110.042
285.9  10960.672
285.85  10952.259
285.8  10989.989
285.75  11033.715
285.7  11067.023
285.65  11083.929
285.6  10792.556
285.55  11029.887
285.5  10619.354
285.45  10705.844
285.4  10841.475
285.35  10910.17
285.3  10683.251
285.25  10283.116
285.2  10245.698
285.15  10187.406
285.1  10084.916
285.05  10194.375
285  10068.92
284.95  9860.7024
284.9  9971.0561
284.85  9625.23
284.8  9784.2671
284.75  9639.6207
284.7  9621.1893
284.65  9762.7226
284.6  9598.8831
284.55  9556.2274
284.5  9691.0495
284.45  9764.4445
284.4  9488.1612
284.35  9477.3278
284.3  9415.4107
284.25  9419.1643
284.2  9495.4639
284.15  9528.2171
284.1  9754.5605
284.05  9812.8011
284  9652.7869
283.95  9470.966
283.9  9521.0881
283.85  9486.9242
283.8  9476.1233
283.75  9535.994
283.7  9602.1102
283.65  9877.3244
283.6  9755.2054
283.55  9710.7944
283.5  9693.5271
283.45  9532.1627
283.4  9502.8693
283.35  9488.5684
283.3  9537.282
283.25  9307.9461
283.2  9660.11
283.15  9576.2175
283.1  9568.0314
283.05  9690.4856
283  9733.3398
282.95  9484.085
282.9  9695.2546
282.85  9669.2128
282.8  9604.0909
282.75  9297.6164
282.7  9395.5262
282.65  9660.0761
282.6  9648.7795
282.55  9635.681
282.5  9602.5066
282.45  9663.0106
282.4  9481.4018
282.35  9453.1116
282.3  9513.3746
282.25  9635.3868
282.2  9436.7667
282.15  9485.1814
282.1  9613.8519
282.05  9526.2129
282  9347.9533
281.95  9534.755
281.9  9930.9459
281.85  9862.145
281.8  9700.6282
281.75  9562.2806
281.7  9552.3497
281.65  9668.9008
281.6  9636.3389
281.55  9532.4415
281.5  9681.6418
281.45  9679.1894
281.4  9827.4966
281.35  9785.4774
281.3  9633.5484
281.25  9538.2072
281.2  9626.9909
281.15  9511.8645
281.1  9397.3602
281.05  9374.5102
281  9665.8201
280.95  9629.7058
280.9  9754.5744
280.85  9699.1459
280.8  9429.1643
280.75  9549.0842
280.7  9533.4101
280.65  9422.8213
280.6  9264.1927
280.55  9447.6061
280.5  9465.5692
280.45  9563.5904
280.4  9587.4724
280.35  9624.0955
280.3  9698.2696
280.25  9562.8535
280.2  9469.0464
280.15  9518.5514
280.1  9493.983
280.05  9715.0328
280  9677.1134

