# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Spectrum Group
#
# Region:                       Au (1)
# Spectrum ID:                  18
# Acquisition Date:             06/10/22 19:12:11 UTC
# Analysis Method:              XPS
# Analyzer Lens:                MediumArea:3.5kV
# Analyzer Slit:                5:7x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 281
# Dwell Time:                   0.1
# Excitation Energy:            1486.71
# Binding Energy:               94
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1750
# Eff. Workfunction:            4.341
# Source:                       Focus
# Comment:                      5'irrad

# Cycle: 0
#
# Number of Scans: 5

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/10/22 19:12:11 UTC
# ColumnLabels:                 energy counts/s
#
94  9840.8158
93.95  9969.1624
93.9  10002.638
93.85  9888.5352
93.8  9939.129
93.75  10206.422
93.7  9887.9376
93.65  9706.1025
93.6  9929.6523
93.55  9762.0382
93.5  9981.5482
93.45  10092.601
93.4  9870.3574
93.35  9964.7637
93.3  9920.1508
93.25  10330.867
93.2  10382.493
93.15  10171.342
93.1  10203.492
93.05  10239.556
93  10231.92
92.95  10201.434
92.9  10256.695
92.85  10520.797
92.8  10647.779
92.75  10732.891
92.7  10564.986
92.65  10584.393
92.6  10707.487
92.55  10753.805
92.5  10867.644
92.45  10982.849
92.4  11012.144
92.35  10991.061
92.3  11169.336
92.25  11300.642
92.2  11116.663
92.15  11230.857
92.1  11152.953
92.05  11247.931
92  11573.478
91.95  11354.097
91.9  11295.71
91.85  11403.795
91.8  11529.602
91.75  11562.409
91.7  11784.956
91.65  11713.256
91.6  11594.745
91.55  11391.065
91.5  11865.454
91.45  11568.89
91.4  11658.48
91.35  11571.614
91.3  11474.655
91.25  11638.78
91.2  11913.558
91.15  11907.476
91.1  12257.126
91.05  12374.096
91  12574.6
90.95  12730.528
90.9  12963.747
90.85  13439.636
90.8  13609.227
90.75  14086.259
90.7  14455.015
90.65  14636.856
90.6  15201.674
90.55  15767.011
90.5  16190.536
90.45  16748.596
90.4  17593.969
90.35  18859.258
90.3  19833.323
90.25  20863.145
90.2  22539.784
90.15  24198.697
90.1  26165.659
90.05  28818.799
90  31419.71
89.95  35590.214
89.9  39911.969
89.85  45135.066
89.8  52194.568
89.75  60259.743
89.7  69261.934
89.65  79533.727
89.6  90778.294
89.55  101271.44
89.5  112589.02
89.45  122900.76
89.4  130714.16
89.35  135871.92
89.3  138085.89
89.25  136544.52
89.2  130403.48
89.15  120204.57
89.1  106844.35
89.05  92830.773
89  78876.066
88.95  66241.008
88.9  54953.174
88.85  45379.34
88.8  37975.97
88.75  32306.012
88.7  28518.011
88.65  25169.249
88.6  22823.341
88.55  20761.838
88.5  18471.624
88.45  17454.859
88.4  16473.548
88.35  15430.9
88.3  14989.746
88.25  14556.437
88.2  14047.295
88.15  13571.508
88.1  13220.795
88.05  12812.565
88  12322.306
87.95  11964.992
87.9  11923.305
87.85  11705.325
87.8  11650.692
87.75  11252.01
87.7  11536.029
87.65  11410.56
87.6  11039.375
87.55  11381.989
87.5  11308.834
87.45  11036.379
87.4  11332.082
87.35  11586.214
87.3  11583.861
87.25  11950.794
87.2  12138.237
87.15  12191.622
87.1  12765.036
87.05  12922.501
87  13167.058
86.95  13906.914
86.9  14801.963
86.85  15579.284
86.8  16006.874
86.75  16717.834
86.7  17726.607
86.65  18764.382
86.6  20131.113
86.55  21952.33
86.5  24081.629
86.45  26211.979
86.4  28801.621
86.35  32510.928
86.3  36244.438
86.25  41470.896
86.2  48406.637
86.15  56903.293
86.1  65740.684
86.05  77215.425
86  89674.286
85.95  103661.14
85.9  118481.62
85.85  133319.64
85.8  148382.6
85.75  160133.33
85.7  168966.94
85.65  174426.78
85.6  174049.33
85.55  168503.25
85.5  158136.65
85.45  141630
85.4  123303.27
85.35  103660.79
85.3  85043.377
85.25  69040.473
85.2  55912.651
85.15  45647.317
85.1  37393.02
85.05  30938.601
85  26111.01
84.95  22373.203
84.9  19387.49
84.85  17086.232
84.8  15165.886
84.75  13791.693
84.7  12124.09
84.65  11259.841
84.6  10411.753
84.55  9716.0359
84.5  9209.2723
84.45  8692.1694
84.4  8345.9543
84.35  7886.2271
84.3  7353.4928
84.25  7033.7124
84.2  6727.5966
84.15  6699.182
84.1  6416.4271
84.05  5981.8106
84  5794.0738
83.95  5516.14
83.9  5387.3219
83.85  5204.4471
83.8  5093.4848
83.75  4997.7413
83.7  4937.5103
83.65  4923.0286
83.6  4857.1109
83.55  4535.0601
83.5  4488.317
83.45  4399.3851
83.4  4177.8121
83.35  4117.0402
83.3  4228.6885
83.25  4103.4005
83.2  3874.4591
83.15  3850.5764
83.1  3736.1492
83.05  3765.99
83  3709.398
82.95  3727.9588
82.9  3668.4079
82.85  3555.6991
82.8  3475.4817
82.75  3433.9678
82.7  3382.9823
82.65  3341.3702
82.6  3335.0866
82.55  3376.0261
82.5  3299.6254
82.45  3246.1848
82.4  3234.6603
82.35  3181.9093
82.3  3244.9531
82.25  3130.2306
82.2  3176.8577
82.15  3174.4681
82.1  3093.3451
82.05  3126.8849
82  3072.8074
81.95  3061.6108
81.9  3038.6085
81.85  3015.7101
81.8  2975.6345
81.75  3051.1436
81.7  3002.3188
81.65  2905.4299
81.6  2923.1333
81.55  3041.9604
81.5  3033.599
81.45  2894.3656
81.4  2897.4811
81.35  2977.3873
81.3  3014.8952
81.25  3052.7636
81.2  2902.9986
81.15  2731.7843
81.1  2799.5501
81.05  2752.703
81  2811.0979
80.95  2912.9512
80.9  2857.3593
80.85  2842.668
80.8  2791.8298
80.75  2770.3349
80.7  2891.2812
80.65  2866.7333
80.6  2692.3649
80.55  2770.8766
80.5  2819.5581
80.45  2863.7011
80.4  2773.158
80.35  2813.593
80.3  2833.8117
80.25  2787.9032
80.2  2817.9588
80.15  2868.3821
80.1  2902.7452
80.05  2749.8323
80  2772.9483

