# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Spectrum Group
#
# Region:                       O (1)
# Spectrum ID:                  20
# Acquisition Date:             06/10/22 19:23:27 UTC
# Analysis Method:              XPS
# Analyzer Lens:                MediumArea:3.5kV
# Analyzer Slit:                5:7x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 241
# Dwell Time:                   0.1
# Excitation Energy:            1486.71
# Binding Energy:               539
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1750
# Eff. Workfunction:            4.341
# Source:                       Focus
# Comment:                      5'irrad

# Cycle: 0
#
# Number of Scans: 5

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/10/22 19:23:27 UTC
# ColumnLabels:                 energy counts/s
#
539  20452.442
538.95  20069.495
538.9  20058.751
538.85  20021.591
538.8  20088.922
538.75  19924.689
538.7  19995.329
538.65  20381.604
538.6  20202.774
538.55  20053.653
538.5  19828.092
538.45  19756.101
538.4  19598.358
538.35  19855.039
538.3  19809.583
538.25  19938.993
538.2  20317.182
538.15  20484.061
538.1  20035.069
538.05  20010.356
538  20364.345
537.95  20254.824
537.9  20413.982
537.85  20270.803
537.8  20025.654
537.75  20305.681
537.7  20088.089
537.65  19945.615
537.6  20064.444
537.55  20035.65
537.5  20002.668
537.45  20061.397
537.4  19896.311
537.35  19956.958
537.3  20083.714
537.25  19819.522
537.2  19868.454
537.15  19907.91
537.1  20160.716
537.05  20113.881
537  19837.087
536.95  20005.095
536.9  20158.102
536.85  20358.26
536.8  20272.293
536.75  19954.185
536.7  20157.676
536.65  20252.367
536.6  20340.035
536.55  20792.848
536.5  20381.319
536.45  20389.257
536.4  20362.094
536.35  20282.183
536.3  20281.385
536.25  20309.063
536.2  20791.037
536.15  20713.022
536.1  20489.399
536.05  20776.788
536  21120.997
535.95  21467.753
535.9  21623.026
535.85  21668.124
535.8  21772.981
535.75  22155.735
535.7  22482.744
535.65  22520.189
535.6  22784.099
535.55  23184.662
535.5  23688.801
535.45  24089.432
535.4  24375.06
535.35  25340.34
535.3  26046.547
535.25  26508.941
535.2  27155.81
535.15  27456.751
535.1  28089.839
535.05  28745.722
535  29572.953
534.95  30406.478
534.9  31511.608
534.85  31957.391
534.8  32762.545
534.75  33392.189
534.7  34053.723
534.65  34526.32
534.6  34834.503
534.55  35139.365
534.5  35906.336
534.45  36111.607
534.4  35765.704
534.35  35836.315
534.3  36356.201
534.25  36200.148
534.2  35021.759
534.15  34998.978
534.1  34437.184
534.05  33954.098
534  33314.326
533.95  32431.799
533.9  31775.549
533.85  30848.194
533.8  29952.594
533.75  29044.444
533.7  28548.526
533.65  27653.655
533.6  26567.738
533.55  25789.765
533.5  25177.21
533.45  24897.163
533.4  24446.928
533.35  24122.024
533.3  23313.014
533.25  22843.461
533.2  22321.341
533.15  22312.629
533.1  22358.963
533.05  21660.197
533  21805.221
532.95  21613.021
532.9  21563.479
532.85  21634.234
532.8  21069.027
532.75  21214.73
532.7  21009.928
532.65  20809.903
532.6  20869.14
532.55  20700.751
532.5  20445.514
532.45  20605.06
532.4  20641.979
532.35  20216.029
532.3  20257.783
532.25  20247.62
532.2  20245.249
532.15  20203.363
532.1  20240.281
532.05  20419.176
532  20094.92
531.95  19718.988
531.9  19995.184
531.85  19960.814
531.8  19738.853
531.75  19683.025
531.7  19864.449
531.65  19959.506
531.6  19515.981
531.55  19256.798
531.5  19287.687
531.45  19408.422
531.4  19570.354
531.35  19605.156
531.3  19719.454
531.25  19421.57
531.2  19517.416
531.15  19422.821
531.1  19299.744
531.05  19362.859
531  19447.469
530.95  19240.623
530.9  19243.959
530.85  19406.922
530.8  19299.102
530.75  19385.04
530.7  19216.224
530.65  19153.301
530.6  19383.312
530.55  19555.111
530.5  19201.413
530.45  19312.672
530.4  19318.444
530.35  19197.282
530.3  19250.024
530.25  19418.516
530.2  19223.519
530.15  19226.98
530.1  19348.647
530.05  19309.964
530  19319.33
529.95  18901.538
529.9  19076.974
529.85  19145.372
529.8  19070.351
529.75  19112.96
529.7  19154.892
529.65  18925.077
529.6  19120.279
529.55  19295.952
529.5  19203.64
529.45  19104.203
529.4  19299.522
529.35  19000.73
529.3  18984.88
529.25  19123.626
529.2  19494.177
529.15  19404.829
529.1  19291.514
529.05  19177.025
529  19129.276
528.95  19524.13
528.9  19083.165
528.85  19067.404
528.8  19113.162
528.75  19142.062
528.7  19306.731
528.65  19422.93
528.6  19151.961
528.55  19169.959
528.5  19279.207
528.45  19422.169
528.4  19355.161
528.35  19259.424
528.3  19198.338
528.25  18900.315
528.2  18884.956
528.15  19412.921
528.1  19221.818
528.05  18795.237
528  18612.854
527.95  18738.092
527.9  19128.229
527.85  19288.07
527.8  19449.289
527.75  19313.913
527.7  19374.647
527.65  19350.491
527.6  19289.462
527.55  19479.358
527.5  19241.918
527.45  19366.811
527.4  19517.38
527.35  19221.988
527.3  19170.921
527.25  19434.296
527.2  19417.026
527.15  19372.569
527.1  19312.932
527.05  19049.61
527  19102.705

