# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Spectrum Group
#
# Region:                       S (2)
# Spectrum ID:                  21
# Acquisition Date:             06/10/22 19:42:48 UTC
# Analysis Method:              XPS
# Analyzer Lens:                MediumArea:3.5kV
# Analyzer Slit:                5:7x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 181
# Dwell Time:                   0.1
# Excitation Energy:            1486.71
# Binding Energy:               168
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1750
# Eff. Workfunction:            4.341
# Source:                       Focus
# Comment:                      10'irrad

# Cycle: 0
#
# Number of Scans: 30

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/10/22 19:42:48 UTC
# ColumnLabels:                 energy counts/s
#
168  11353.845
167.95  11277.158
167.9  11355.726
167.85  11377.592
167.8  11471.465
167.75  11384.084
167.7  11392.212
167.65  11410.137
167.6  11406.087
167.55  11495.837
167.5  11429.366
167.45  11418.93
167.4  11364.032
167.35  11455.924
167.3  11331.733
167.25  11423.994
167.2  11422.564
167.15  11419.209
167.1  11314.182
167.05  11408.674
167  11334.421
166.95  11399.563
166.9  11424.921
166.85  11448.914
166.8  11530.728
166.75  11471.592
166.7  11321.028
166.65  11403.235
166.6  11467.542
166.55  11506.363
166.5  11425.566
166.45  11476.713
166.4  11479.083
166.35  11393.939
166.3  11399.279
166.25  11511.336
166.2  11521.224
166.15  11436.086
166.1  11499.711
166.05  11533.108
166  11507.496
165.95  11649.135
165.9  11534.362
165.85  11518.923
165.8  11574.988
165.75  11621.38
165.7  11575.32
165.65  11674.718
165.6  11605.225
165.55  11575.536
165.5  11575.233
165.45  11464.04
165.4  11493.692
165.35  11620.124
165.3  11701.134
165.25  11744.517
165.2  11644.541
165.15  11685.066
165.1  11704.861
165.05  11728.868
165  11730.453
164.95  11807.906
164.9  11774.298
164.85  11771.613
164.8  11782.091
164.75  11763.207
164.7  11691.481
164.65  11894.021
164.6  11913.296
164.55  11911.699
164.5  11870.886
164.45  11747.41
164.4  11826.093
164.35  11849.31
164.3  11888.264
164.25  11870.664
164.2  11999.242
164.15  11978.916
164.1  11982.439
164.05  12025.894
164  12040.882
163.95  12042.518
163.9  12052.523
163.85  12041.775
163.8  12046.167
163.75  12007.846
163.7  12069.593
163.65  12145.695
163.6  12015.748
163.55  11921.83
163.5  11987.417
163.45  11917.918
163.4  11930.723
163.35  11931.088
163.3  11914.845
163.25  11823.523
163.2  11890.28
163.15  11926.461
163.1  11976.976
163.05  11976.675
163  12023.562
162.95  12067.822
162.9  12083.328
162.85  12118.893
162.8  12104.951
162.75  12076.637
162.7  12039.414
162.65  11975.287
162.6  11950.801
162.55  11871.981
162.5  11806.534
162.45  11832.868
162.4  11793.926
162.35  11674.063
162.3  11626.509
162.25  11578.02
162.2  11540.324
162.15  11524.709
162.1  11470.167
162.05  11563.785
162  11456.609
161.95  11385.514
161.9  11438.913
161.85  11440.356
161.8  11438.039
161.75  11505.206
161.7  11478.952
161.65  11423.357
161.6  11440.115
161.55  11575.435
161.5  11527.586
161.45  11478.199
161.4  11437.761
161.35  11551.383
161.3  11601.473
161.25  11604.39
161.2  11477.954
161.15  11465.732
161.1  11456.664
161.05  11406.326
161  11462.417
160.95  11521.553
160.9  11524.911
160.85  11482.718
160.8  11552.381
160.75  11526.624
160.7  11524.801
160.65  11578.923
160.6  11562.86
160.55  11537.813
160.5  11561.285
160.45  11468.71
160.4  11495.644
160.35  11449.221
160.3  11602.631
160.25  11520.812
160.2  11489.956
160.15  11399.848
160.1  11632.669
160.05  11544.885
160  11521.125
159.95  11492.891
159.9  11543.566
159.85  11539.415
159.8  11661.11
159.75  11581.112
159.7  11548.813
159.65  11551.265
159.6  11577.389
159.55  11684.901
159.5  11679.906
159.45  11655.716
159.4  11531.697
159.35  11638.506
159.3  11692.682
159.25  11715.101
159.2  11648.669
159.15  11755.075
159.1  11756.13
159.05  11607.764
159  11663.845

