# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Spectrum Group
#
# Region:                       VB (2)
# Spectrum ID:                  24
# Acquisition Date:             06/10/22 20:06:08 UTC
# Analysis Method:              XPS
# Analyzer Lens:                MediumArea:3.5kV
# Analyzer Slit:                5:7x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 281
# Dwell Time:                   0.1
# Excitation Energy:            1486.71
# Binding Energy:               12
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1750
# Eff. Workfunction:            4.341
# Source:                       Focus
# Comment:                      10'irrad

# Cycle: 0
#
# Number of Scans: 5

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/10/22 20:06:08 UTC
# ColumnLabels:                 energy counts/s
#
12  1155.0785
11.95  1149.8981
11.9  1192.5652
11.85  1166.9769
11.8  1109.3586
11.75  1106.5912
11.7  1107.9087
11.65  1166.8249
11.6  1118.3399
11.55  1133.0096
11.5  1188.1947
11.45  1262.6205
11.4  1171.3708
11.35  1188.6032
11.3  1208.5074
11.25  1262.8884
11.2  1241.64
11.15  1281.6058
11.1  1239.2758
11.05  1256.497
11  1255.7495
10.95  1307.5091
10.9  1287.512
10.85  1319.5378
10.8  1329.1008
10.75  1320.8908
10.7  1290.2287
10.65  1401.8934
10.6  1447.352
10.55  1421.0776
10.5  1377.3651
10.45  1388.9478
10.4  1381.3589
10.35  1533.3443
10.3  1627.1658
10.25  1583.2404
10.2  1577.3151
10.15  1627.7087
10.1  1700.5998
10.05  1789.6248
10  1820.6253
9.95  1848.7035
9.9  1928.0448
9.85  1986.723
9.8  1981.9689
9.75  2181.3318
9.7  2387.7618
9.65  2418.9016
9.6  2628.0777
9.55  2779.6835
9.5  2872.5178
9.45  3010.3832
9.4  3415.3276
9.35  3606.4315
9.3  3633.3663
9.25  3936.6102
9.2  4249.3575
9.15  4290.5698
9.1  4544.1865
9.05  4769.4645
9  4958.8115
8.95  5155.8422
8.9  5441.1371
8.85  5586.7497
8.8  5471.2159
8.75  5621.1694
8.7  5786.3998
8.65  5849.8622
8.6  5926.5305
8.55  5927.7269
8.5  6114.4336
8.45  6498.308
8.4  6370.3567
8.35  6344.2868
8.3  6481.6073
8.25  6632.9416
8.2  6734.7568
8.15  7007.9972
8.1  7099.1066
8.05  7290.2815
8  7561.9452
7.95  7669.9915
7.9  7670.1304
7.85  7875.4079
7.8  7556.9347
7.75  7490.5391
7.7  7176.0879
7.65  7024.8614
7.6  6654.1406
7.55  6294.8935
7.5  5922.4745
7.45  5813.726
7.4  5458.436
7.35  5383.0084
7.3  5200.7956
7.25  5122.871
7.2  5093.0665
7.15  4766.1812
7.1  4780.816
7.05  4866.2419
7  4756.678
6.95  4792.5964
6.9  4729.0847
6.85  4748.1915
6.8  4886.4458
6.75  4791.0801
6.7  4934.2957
6.65  5105.1992
6.6  4970.7321
6.55  4814.9099
6.5  5014.4548
6.45  5076.0511
6.4  5107.8185
6.35  5215.7929
6.3  5610.291
6.25  5641.3847
6.2  5757.1761
6.15  6110.2754
6.1  6170.9887
6.05  6509.0039
6  6633.9986
5.95  6632.9764
5.9  6583.3367
5.85  6731.0471
5.8  7100.761
5.75  6946.901
5.7  7056.3166
5.65  7093.8397
5.6  7228.6182
5.55  7299.2936
5.5  7175.4282
5.45  7070.1193
5.4  7043.3692
5.35  7089.8059
5.3  7076.932
5.25  6860.9789
5.2  6795.179
5.15  6822.2972
5.1  6809.4827
5.05  6873.6706
5  6947.8716
4.95  6865.1086
4.9  6670.4287
4.85  6735.1192
4.8  6920.8808
4.75  7075.479
4.7  7016.4129
4.65  7053.6841
4.6  7219.1078
4.55  7406.3117
4.5  7230.958
4.45  7361.42
4.4  7357.1974
4.35  7518.9196
4.3  7493.3484
4.25  7485.6359
4.2  7016.2843
4.15  6799.5417
4.1  6632.7131
4.05  5987.2086
4  5723.3255
3.95  5187.716
3.9  4626.4149
3.85  4118.4968
3.8  3652.5959
3.75  3376.3375
3.7  3003.7427
3.65  2639.9668
3.6  2376.5982
3.55  2115.331
3.5  1945.1013
3.45  1761.7258
3.4  1576.888
3.35  1460.1637
3.3  1471.9494
3.25  1378.0286
3.2  1270.3644
3.15  1342.208
3.1  1258.0335
3.05  1169.2539
3  1098.9257
2.95  1159.2235
2.9  1165.0175
2.85  1082.9547
2.8  1097.4844
2.75  1032.3723
2.7  1070.0017
2.65  971.11248
2.6  1070.1473
2.55  969.38465
2.5  1006.6272
2.45  870.70733
2.4  826.57918
2.35  882.75394
2.3  896.50401
2.25  861.265
2.2  840.84517
2.15  842.77367
2.1  854.32826
2.05  812.38182
2  755.3513
1.95  744.95272
1.9  736.48465
1.85  622.28281
1.8  567.36694
1.75  476.00296
1.7  426.04367
1.65  362.54029
1.6  303.62505
1.55  227.81164
1.5  171.46348
1.45  123.06848
1.4  92.241704
1.35  69.117694
1.3  62.900245
1.25  48.199285
1.2  31.587872
1.15  42.391208
1.1  49.159253
1.05  34.490187
1  41.631816
0.95  29.807896
0.9  29.993536
0.85  22.285234
0.8  31.114977
0.75  43.712503
0.7  41.157774
0.65  25.081265
0.6  22.677735
0.55  19.597536
0.5  20.863104
0.45  22.48312
0.4  25.424963
0.35  24.653216
0.3  26.352053
0.25  36.795224
0.2  25.446163
0.15  37.765997
0.1  33.6622
0.05  30.880104
0  26.273576
-0.05  16.17372
-0.1  22.927232
-0.15  29.733328
-0.2  23.438504
-0.25  18.7602
-0.3  24.15948
-0.35  23.979896
-0.4  30.13417
-0.45  21.95927
-0.5  19.3512
-0.55  22.44272
-0.6  26.22592
-0.65  26.831344
-0.7  21.113451
-0.75  36.664405
-0.8  14.65984
-0.85  20.30912
-0.9  21.93936
-0.95  21.19904
-1  15.796
-1.05  15.46032
-1.1  23.602366
-1.15  26.570354
-1.2  17.96084
-1.25  13.026008
-1.3  15.623242
-1.35  9.4219104
-1.4  15.892064
-1.45  19.200224
-1.5  20.085536
-1.55  16.75208
-1.6  16.671096
-1.65  19.444744
-1.7  26.14952
-1.75  19.664216
-1.8  19.231
-1.85  13.77305
-1.9  14.356393
-1.95  15.440397
-2  13.68448

