# Created by:        SpecsLab Prodigy, Version 4.91.3-r105809 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    yes
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        yes
#   Time Zone Format:         UTC
#
# Group:                        Spectrum Group
#
# Region:                       O_3
# Spectrum ID:                  30
# Acquisition Date:             06/10/22 20:50:16 UTC
# Analysis Method:              XPS
# Analyzer Lens:                MediumArea:3.5kV
# Analyzer Slit:                5:7x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Curves/Scan:                  1
# Values/Curve:                 241
# Dwell Time:                   0.1
# Excitation Energy:            1486.71
# Binding Energy:               539
# Pass Energy:                  20
# Bias Voltage:                 90
# Detector Voltage:             1750
# Eff. Workfunction:            4.341
# Source:                       Focus
# Comment:                      15'irrad

# Cycle: 0
#
# Number of Scans: 5

# Cycle: 0, Curve: 0
#
# Acquisition Date:             06/10/22 20:50:16 UTC
# ColumnLabels:                 energy counts/s
#
539  20474.427
538.95  20515.805
538.9  20359.855
538.85  20226.471
538.8  20073.642
538.75  20049.846
538.7  20154.578
538.65  20032.832
538.6  20035.714
538.55  19952.325
538.5  20017.429
538.45  20356.653
538.4  20023.717
538.35  20099.602
538.3  20082.131
538.25  20148.791
538.2  20283.229
538.15  20117.97
538.1  20064.026
538.05  20270.479
538  20271.845
537.95  20274.635
537.9  20113.588
537.85  20225.894
537.8  20029.763
537.75  20036.07
537.7  20102.431
537.65  19967.193
537.6  19939.949
537.55  19816.44
537.5  19959.414
537.45  20058.306
537.4  20095.364
537.35  20384.01
537.3  20153.254
537.25  19977.986
537.2  19900.327
537.15  20038.724
537.1  20216.242
537.05  20155.585
537  20233.292
536.95  20231.859
536.9  20478.234
536.85  20191.85
536.8  20175.718
536.75  20115.836
536.7  20240.58
536.65  20113.638
536.6  20094.692
536.55  20014.953
536.5  20524.194
536.45  20461.128
536.4  20090.472
536.35  20074.871
536.3  20338.686
536.25  20306.414
536.2  20453.948
536.15  20733.484
536.1  20778.046
536.05  20632.239
536  21004.401
535.95  20942.541
535.9  20959.416
535.85  20958.466
535.8  21433.289
535.75  21324.047
535.7  21882.623
535.65  22157.213
535.6  22660.58
535.55  22928.498
535.5  23094.891
535.45  23221.983
535.4  23595.719
535.35  23932.041
535.3  24761.156
535.25  25505.449
535.2  25888.743
535.15  26187.48
535.1  27125.655
535.05  27902.593
535  28414.742
534.95  29128.255
534.9  29556.054
534.85  30190.86
534.8  31213.585
534.75  32005.822
534.7  32620.98
534.65  32806.083
534.6  33856.456
534.55  34806.097
534.5  35073.317
534.45  35236.408
534.4  35437.255
534.35  35401.678
534.3  35951.476
534.25  35445.837
534.2  35372.415
534.15  35239.268
534.1  34718.816
534.05  34274.032
534  33563.366
533.95  33046.235
533.9  32085.5
533.85  31284.685
533.8  30713.198
533.75  30112.618
533.7  28930.571
533.65  28393.388
533.6  27723.355
533.55  26347.654
533.5  26047.972
533.45  25343.649
533.4  24779.03
533.35  24252.304
533.3  23804.168
533.25  23383.66
533.2  22703.161
533.15  22642.37
533.1  22223.933
533.05  22520.499
533  22138.52
532.95  21505.327
532.9  21373.571
532.85  21340.916
532.8  21464.549
532.75  21152.654
532.7  20850.09
532.65  20794.645
532.6  20613.409
532.55  20519.778
532.5  20138.841
532.45  20278.246
532.4  20339.772
532.35  20512.834
532.3  20108.839
532.25  20185.796
532.2  20198.19
532.15  20454.375
532.1  20240.202
532.05  19747.025
532  19716.073
531.95  19630.191
531.9  19738.289
531.85  19510.663
531.8  19607.529
531.75  19743.534
531.7  19822.72
531.65  19465.747
531.6  19250.556
531.55  19670.023
531.5  19667.66
531.45  19657.44
531.4  19575.164
531.35  19578.477
531.3  19468.827
531.25  19185.566
531.2  19298.89
531.15  19630.323
531.1  19753.688
531.05  19478.275
531  19420.801
530.95  19531.087
530.9  19474.48
530.85  19005.759
530.8  19271.688
530.75  19645.905
530.7  19601.756
530.65  19318.22
530.6  19126.288
530.55  19333.476
530.5  19108.055
530.45  19268.7
530.4  19568.633
530.35  19316.126
530.3  19311.683
530.25  18935.945
530.2  19103.689
530.15  18972.703
530.1  19372.066
530.05  19443.587
530  19010.66
529.95  19174.9
529.9  19095.098
529.85  19396.766
529.8  19216.171
529.75  19268.764
529.7  19195.166
529.65  19054.248
529.6  19392.068
529.55  19382.664
529.5  19119.231
529.45  19279.717
529.4  19452.165
529.35  19317.51
529.3  19031.381
529.25  19245.983
529.2  19654.29
529.15  19214.453
529.1  19113.215
529.05  19057.948
529  19098.246
528.95  18966.954
528.9  19225.998
528.85  19489.037
528.8  19839.15
528.75  19301.473
528.7  19281.022
528.65  19285.445
528.6  19221.605
528.55  19528.531
528.5  19138.379
528.45  18810.306
528.4  19163.149
528.35  19322.72
528.3  19516.855
528.25  19229.048
528.2  18928.195
528.15  18999.73
528.1  19066.905
528.05  19117.777
528  18966.633
527.95  18837.092
527.9  18961.06
527.85  19179.148
527.8  19202.293
527.75  19278.322
527.7  19250.469
527.65  19075.525
527.6  18954.912
527.55  19047.845
527.5  19219.253
527.45  19121.507
527.4  18690.862
527.35  19084.987
527.3  19123.711
527.25  19052.013
527.2  19254.394
527.15  19168.297
527.1  19125.045
527.05  19143.163
527  19183.07

